"Date","Surveyor","Camera_Number","MAX_depth_ft","Site","Area_surveyed_m2","AGLO_size_cm","AGLO_partial_mortality","AGLO_Bleaching","ICRA_size_cm","ICRA_partial_mortality","ICRA_Bleaching","First10m_YN","Notes","Sheet_Name","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Lat","Long","Year"
2025-02-07,"ES",2,38,"TUT-210",60,"NA","NA","NA","NA","5.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.301899,-170.679903,2025
2025-02-07,"ES",2,38,"TUT-210",60,"NA","NA","NA","NA","10.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.301899,-170.679903,2025
2025-02-07,"ES",2,38,"TUT-210",60,"NA","NA","NA","NA","5.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.301899,-170.679903,2025
2025-02-07,"ES",2,45,"TUT-211",60,"55.0","1.0","NA","NA","NA","NA","NA","No ICRA at site","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.360358,-170.748776,2025
2025-02-07,"ES",2,45,"TUT-211",60,"22.5","5.0","NA","NA","NA","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.360358,-170.748776,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","15.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","1.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","5.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","7.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","2.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","3.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","0.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","10.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","55.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-07,"ES",2,50,"TUT-212",60,"NA","NA","NA","NA","80.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.338095,-170.793296,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","85.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","90.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","5.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","90.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","85.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","90.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","90.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","85.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","97.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","98.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","98.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","90.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","65.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","85.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","80.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
2025-02-08,"ES",2,50,"TUT-169",60,"NA","NA","NA","NA","85.0","NA","NA",NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.330384,-170.812348,2025
