"","MISSIONID","REGION","REGION_NAME","ISLAND","ISLANDCODE","REEF_ZONE","DEPTH_BIN","YEAR","DATE_","NO_SURVEY_YN","SITEVISITID","SITE","DIVER","TRANSECT","SEGMENT","SEGWIDTH","SEGLENGTH","Fragment","COLONYID","SPCODE","MORPHOLOGY","COLONYLENGTH","OLDDEAD","RDEXTENT1","GENRD1","RD1","RDEXTENT2","GENRD2","RD2","GENRD3","RD3","RDEXTENT3","CONDITION_1","CONDITION_2","CONDITION_3","EXTENT_1","EXTENT_2","EXTENT_3","SEVERITY_1","SEVERITY_2","SEVERITY_3","GENUS_CODE","S_ORDER","TAXONNAME","LATITUDE","LONGITUDE","SEC_NAME","ANALYSIS_YEAR","bANALYSIS_SCHEME","MIN_DEPTH_M","MAX_DEPTH_M","TAXONCODE","TRANSECTAREA","PER_DEAD","Area_surveyed_m2","logCOLONYLENGTH","TAIL_BINS"
"1","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-03 00:00:00",0,8202,"TUT-01551","BDS",1,0,1,2.5,NA,416720,"ISSP","Plating",6,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,0,10,1.79175946922805,"Q20"
"2","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-03 00:00:00",0,8202,"TUT-01551","BDS",1,0,1,2.5,NA,416751,"ISSP","Encrusting (mounding)",26,55,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,55,10,3.25809653802148,"QMED"
"3","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-03 00:00:00",0,8202,"TUT-01551","MAR",1,15,1,2.5,NA,416572,"ISSP","Encrusting (mounding)",21,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,5,10,3.04452243772342,"QMED"
"4","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-03 00:00:00",0,8202,"TUT-01551","MAR",1,15,1,2.5,NA,416626,"ISSP","Encrusting (mounding)",7,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24987,-170.5623,"TUT_NE_OPEN","2015","BEN_SEC2015",13.41055,15.54404,"ISSP",10,0,10,1.94591014905531,"Q20"
"5","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-02-28 00:00:00",0,8154,"TUT-01715","MAR",1,15,1,2.5,NA,414420,"ISSP","Encrusting (mounding)",8,0,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.29025,-170.5505,"TUT_AUNUU_A","2015","BEN_SEC2015",9.143554,12.80098,"ISSP",10,0,10,2.07944154167984,"Q20"
"6","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,5,1,2.5,NA,438844,"ISSP","Encrusting (mounding)",21,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,3.04452243772342,"QMED"
"7","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,5,1,2.5,NA,438849,"ISSP","Encrusting (mounding)",10,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,2.30258509299405,"Q20"
"8","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,15,1,2.5,NA,438879,"ISSP","Encrusting (mounding)",15,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,2.70805020110221,"QMED"
"9","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,439916,"ISSP","Encrusting (mounding)",47,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,10,10,3.85014760171006,"Q80"
"10","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440007,"ISSP","Encrusting (mounding)",26,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,5,10,3.25809653802148,"QMED"
"11","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440029,"ISSP","Plating",15,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,2.70805020110221,"QMED"
"12","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440030,"ISSP","Plating",7,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,1.94591014905531,"Q20"
"13","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440063,"ISSP","Encrusting (mounding)",48,50,0,"","",0,"","","","",0,"BLE","","",30,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,50,10,3.87120101090789,"Q80"
