YEAR,DATE_,SITE,LATITUDE,LONGITUDE,MAX_DEPTH_M,SURVEYAREA,COL_COUNT
2015,3/3/2015 0:00,TUT-01525,-14.25476,-170.5589,12.80098,10,0
2015,3/3/2015 0:00,TUT-01551,-14.24987,-170.5623,15.54404,10,4
2015,3/29/2015 0:00,TUT-01708,-14.2941,-170.5621,11.88662,10,0
2015,2/28/2015 0:00,TUT-01715,-14.29025,-170.5505,12.80098,10,1
2015,2/28/2015 0:00,TUT-01783,-14.28062,-170.5449,14.62969,9,0
2015,3/28/2015 0:00,TUT-01784,-14.28081,-170.5461,12.19141,10,0
2015,3/29/2015 0:00,TUT-01785,-14.27784,-170.545,17.37275,10,10
2015,3/28/2015 0:00,TUT-01795,-14.27577,-170.5465,17.67754,10,7
2015,3/7/2015 0:00,TUT-01854,-14.31619,-170.6503,15.54404,10,0
2015,3/29/2015 0:00,TUT-01855,-14.28335,-170.5627,14.02012,10,1
2015,3/2/2015 0:00,TUT-01858,-14.28371,-170.6284,15.84883,10,2
2015,3/2/2015 0:00,TUT-01871,-14.28818,-170.6412,23.16367,10,0
2015,3/29/2015 0:00,TUT-01872,-14.2862,-170.6001,15.54404,10,18
2015,3/30/2015 0:00,TUT-01878,-14.29355,-170.6533,17.06797,15,1
2015,3/7/2015 0:00,TUT-01887,-14.32246,-170.6692,12.80098,10,0
2015,3/2/2015 0:00,TUT-01913,-14.27307,-170.5708,11.27705,8.5,1
2015,3/27/2015 0:00,TUT-01962,-14.36487,-170.7433,16.76318,10,3
2015,3/5/2015 0:00,TUT-01966,-14.36815,-170.7539,16.4584,10,0
2015,2/17/2015 0:00,TUT-02005,-14.36332,-170.7676,16.76318,10,0
2015,2/17/2015 0:00,TUT-02006,-14.3694,-170.7621,14.02012,17,0
2015,3/27/2015 0:00,TUT-02014,-14.36251,-170.7658,14.62969,10,2
2015,2/17/2015 0:00,TUT-02016,-14.36541,-170.763,14.93447,17.05,0
2015,3/5/2015 0:00,TUT-02065,-14.33988,-170.7909,15.84883,12.5,0
2015,2/26/2015 0:00,TUT-02070,-14.34219,-170.7195,14.93447,10,0
2015,3/12/2015 0:00,TUT-02079,-14.30393,-170.6878,13.41055,19.5,0
2015,3/12/2015 0:00,TUT-02085,-14.33314,-170.6986,14.02012,10,0
2015,3/6/2015 0:00,TUT-02086,-14.3546,-170.7873,14.62969,10,3
2015,3/12/2015 0:00,TUT-02094,-14.31646,-170.6937,15.23926,10,0
2015,3/12/2015 0:00,TUT-02110,-14.33733,-170.7074,14.62969,10,0
2015,11/9/2015 0:00,TUT-02208,-14.28836,-170.6777,11.58183,10,0
2015,11/9/2015 0:00,TUT-02209,-14.28733,-170.675,13.71533,10,0
2015,11/11/2015 0:00,TUT-02210,-14.28921,-170.6767,14.3249,10,0
2015,11/10/2015 0:00,TUT-02211,-14.28991,-170.6742,13.41055,10,0
2015,10/29/2015 0:00,TUT-02218,-14.2937,-170.6749,14.02012,10,0
2015,10/29/2015 0:00,TUT-02219,-14.29043,-170.6766,13.71533,8.75,0
2018,7/18/2018 0:00,TUT-02808,-14.2965,-170.5661,14.02012,10,0
2018,7/18/2018 0:00,TUT-02812,-14.29502,-170.5582,14.62969,10,0
2018,7/6/2018 0:00,TUT-02854,-14.36535,-170.7525,14.02012,10,0
2018,7/6/2018 0:00,TUT-02855,-14.36011,-170.7493,13.71533,10,0
2018,7/4/2018 0:00,TUT-02871,-14.36512,-170.7635,15.54404,10,0
2018,7/4/2018 0:00,TUT-02874,-14.36191,-170.7648,14.02012,10,0
2018,7/17/2018 0:00,TUT-03020,-14.33662,-170.8041,13.71533,10,37
2018,7/17/2018 0:00,TUT-03021,-14.34374,-170.7891,16.15361,10,7
